발행일,카테고리,문서유형,제목,원문링크
2025-04-17,일반 정책,Presidential Action,UNLEASHING AMERICAN COMMERCIAL FISHING IN THE PACIFIC,https://www.whitehouse.gov/fact-sheets/2025/04/unleashing-american-commercial-fishing-in-the-pacific/
2025-04-09,일반 정책,Presidential Action,MAINTAINING ACCEPTABLE WATER PRESSURE IN SHOWERHEADS,https://www.whitehouse.gov/presidential-actions/2025/04/maintaining-acceptable-water-pressure-in-showerheads/
2025-04-09,일반 정책,Presidential Action,ADDRESSING RISKS FROM SUSMAN GODFREY,https://www.whitehouse.gov/presidential-actions/2025/04/addressing-risks-from-susman-godfrey/
2025-04-09,일반 정책,Presidential Action,RESTORING AMERICA’S MARITIME DOMINANCE,https://www.whitehouse.gov/presidential-actions/2025/04/restoring-americas-maritime-dominance/
2025-04-03,일반 정책,Presidential Action,"CANCER CONTROL MONTH, 2025",https://www.whitehouse.gov/presidential-actions/2025/04/cancer-control-month-2025/
2025-03-25,일반 정책,Presidential Action,Modernizing Payments To and From America’s Bank Account,https://www.whitehouse.gov/presidential-actions/2025/03/modernizing-payments-to-and-from-americas-bank-account/
2025-03-25,일반 정책,Presidential Action,"Protecting America’s Bank Account Against Fraud, Waste, and Abuse",https://www.whitehouse.gov/presidential-actions/2025/03/protecting-americas-bank-account-against-fraud-waste-and-abuse/
2025-03-25,일반 정책,Presidential Action,PRESERVING AND PROTECTING THE INTEGRITY OF AMERICAN ELECTIONS,https://www.whitehouse.gov/presidential-actions/2025/03/preserving-and-protecting-the-integrity-of-american-elections/
2025-03-06,일반 정책,Presidential Action,AMENDMENT TO DUTIES TO ADDRESS THE FLOW OF ILLICIT DRUGS ACROSS OUR NORTHERN BORDER,https://www.whitehouse.gov/presidential-actions/2025/03/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border-0c3c/
2025-03-01,일반 정책,Presidential Action,Designating English as the Official Language of The United States,https://www.whitehouse.gov/presidential-actions/2025/03/designating-english-as-the-official-language-of-the-united-states/
2025-03-01,일반 정책,Presidential Action,Immediate Expansion of American Timber Production,https://www.whitehouse.gov/presidential-actions/2025/03/immediate-expansion-of-american-timber-production/
2025-03-01,일반 정책,Presidential Action,"Addressing The Threat To National Security from Imports of Timber, Lumber",https://www.whitehouse.gov/presidential-actions/2025/03/addressing-the-threat-to-national-security-from-imports-of-timber-lumber/
2025-02-18,일반 정책,Presidential Action,Ensuring Accountability for All Agencies,https://www.whitehouse.gov/presidential-actions/2025/02/ensuring-accountability-for-all-agencies/
2025-02-16,일반 정책,Presidential Action,President Donald J. Trump Approves Kentucky Emergency Declaration,https://www.whitehouse.gov/presidential-actions/2025/02/president-donald-j-trump-approves-kentucky-emergency-declaration/
2025-02-15,일반 정책,Presidential Action,Keeping Education Accessible and Ending Covid-19 Vaccine Mandates in Schools,https://www.whitehouse.gov/presidential-actions/2025/02/keeping-education-accessible-and-ending-covid-19-vaccine-mandates-in-schools/
2025-02-13,일반 정책,Presidential Action,ESTABLISHING THE PRESIDENT’S MAKE AMERICA HEALTHY AGAIN COMMISSION,https://www.whitehouse.gov/presidential-actions/2025/02/establishing-the-presidents-make-america-healthy-again-commission/
2025-02-11,일반 정책,Presidential Action,Adjusting Imports of Aluminum into The United States,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/
